Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,087031,1943,null,null,null,null,null,null,null,null,null,17.4,20.1,22.0,null
IDCJAC0002,087031,1944,26.1,24.5,24.4,18.0,15.4,13.2,12.8,13.7,18.2,20.1,21.5,24.3,19.4
IDCJAC0002,087031,1945,24.2,22.6,20.9,18.5,16.2,14.7,12.3,14.9,16.3,18.8,23.2,24.3,18.9
IDCJAC0002,087031,1946,25.7,23.6,21.2,17.5,16.4,12.5,14.0,14.3,15.0,16.6,21.1,23.7,18.5
IDCJAC0002,087031,1947,26.1,27.4,23.9,19.9,19.4,14.7,13.3,13.7,17.0,18.5,19.3,23.3,19.7
IDCJAC0002,087031,1948,23.7,26.1,20.9,18.6,15.2,13.4,12.6,16.0,18.1,17.8,20.6,24.4,19.0
IDCJAC0002,087031,1949,24.0,22.1,21.0,17.6,14.9,11.9,13.4,15.1,16.4,18.5,19.6,21.2,18.0
IDCJAC0002,087031,1950,23.7,23.0,21.9,19.3,15.8,12.2,13.9,15.0,18.1,18.9,21.6,25.7,19.1
IDCJAC0002,087031,1951,27.3,25.4,25.0,17.9,17.7,13.9,13.5,12.7,16.7,18.7,21.1,23.1,19.4
IDCJAC0002,087031,1952,24.8,22.8,23.6,18.3,15.3,13.4,12.2,13.7,16.8,18.5,19.7,22.2,18.4
IDCJAC0002,087031,1953,23.9,24.4,24.6,20.7,17.0,13.3,13.6,14.1,16.3,18.6,20.2,23.8,19.2
IDCJAC0002,087031,1954,26.5,21.9,23.2,20.3,16.3,13.9,12.7,14.9,16.4,18.7,19.9,24.0,19.1
IDCJAC0002,087031,1955,26.1,24.6,22.3,20.0,15.1,13.3,13.1,15.2,17.0,19.0,20.0,22.6,19.0
IDCJAC0002,087031,1956,24.0,27.3,24.1,20.1,15.9,13.3,13.6,14.0,16.6,16.9,18.9,22.7,18.9
IDCJAC0002,087031,1957,25.6,24.6,22.9,20.6,17.1,17.8,13.1,15.0,16.9,18.0,22.1,23.1,19.7
IDCJAC0002,087031,1958,22.7,24.7,23.5,20.8,17.6,13.9,13.1,14.0,15.8,17.9,21.8,21.1,18.9
IDCJAC0002,087031,1959,28.9,25.2,22.7,21.6,16.6,14.7,13.4,15.2,15.7,18.2,23.7,23.4,19.9
IDCJAC0002,087031,1960,28.0,24.1,24.6,19.3,14.3,13.5,12.7,13.1,15.9,19.5,19.3,26.0,19.2
